IP|PUERTO|BD|USUARIO|USOS
10.50.71.69|19680|buro|sysburotienda|1
10.50.71.69|19684|buro|sysburotienda|1
10.50.71.69|19694|buro|sysburotienda|1
10.50.71.69|19708|buro|sysburotienda|1
10.50.71.69|19724|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|19738|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|40647|buro|sysburotienda|1
10.50.71.69|19748|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|19760|infocrediticiacte|sysinfocrediticia|1
10.30.241.169|51177|buro|sysburotienda|1
10.30.241.167|17256|buro|sysburotienda|1
10.50.71.69|19774|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|19784|buro|sysburotienda|1
10.50.71.69|19792|buro|sysburotienda|1
10.50.71.69|19802|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|19804|buro|sysburotienda|1
10.50.71.69|19816|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|23578|buro|sysburotienda|1
10.50.71.69|23582|buro|sysburotienda|1
10.50.71.69|23588|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|23594|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|23600|buro|sysburotienda|1
10.50.71.69|23616|buro|sysburotienda|1
10.50.71.69|23622|buro|sysburotienda|1
10.50.71.69|23626|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|23634|buro|sysburotienda|1
10.50.71.69|23638|infocrediticiacte|sysinfocrediticia|1
10.30.241.181|61681|buro|sysburotienda|1
10.50.71.69|23644|buro|sysburotienda|1
10.50.71.69|23660|buro|sysburotienda|1
10.50.71.69|23662|buro|sysburotienda|1
10.50.71.69|23674|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|23686|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|36848|buro|sysburotienda|1
10.50.71.69|36856|infocrediticiacte|sysinfocrediticia|1
10.30.241.167|64738|buro|sysburotienda|1
10.50.71.69|36862|buro|sysburotienda|1
10.50.71.69|36864|infocrediticiacte|sysinfocrediticia|1
10.50.71.69|27628|buro|sysburotienda|1
10.50.71.69|27632|buro|sysburotienda|1
10.50.71.69|27634|infocrediticiacte|sysinfocrediticia|1
